id,building_name,address,building_type,room_type,area,avg_deposit,avg_monthly_rent,construction_year,road_name,sample_count,households,ground_floors,elevators,emergency_elevators,main_use_code,building_usage,heating_type,approval_date,completion_date,parking_spaces
76,벽적골롯데,경기도 수원시 영통구 영통동 971-1,아파트,15평형,49.71,16517.756097560974,32.21951219512195,2002,덕영대로1555번길 20,123,300,20,3,0,,기타,개별난방,20020330,20020330,0
77,신나무실신성,경기도 수원시 영통구 영통동 963-2,아파트,18평형,59.965,18999.873015873014,25.080645161290324,1997,매영로310번길 12,63,140,18,0,0,,기타,개별난방,19971216,19971216,0
78,신나무실극동,경기도 수원시 영통구 영통동 967-2,아파트,25평형,84.9,36700.0,20.75,1999,봉영로1517번길 30,17,68,17,0,0,,기타,개별난방,19990930,19990930,0
79,신나무실휴먼시아5단지,경기도 수원시 영통구 영통동 964-5,아파트,15평형,49.59,17086.36274509804,20.96039603960396,1997,영통로290번길 25,102,100,20,0,0,,기타,개별난방,19971215,19971215,0
80,살구골마을진덕서광성지동아,경기도 수원시 영통구 영통동 988-2,아파트,40평형,134.88,45115.38461538462,43.04,1998,봉영로 1526,26,32,16,1,0,,기타,개별난방,19980126,19980126,0
81,청명마을(주공),경기도 수원시 영통구 영통동 1048-2,아파트,18평형,59.99,21278.219653179192,30.337209302325583,1997,청명북로 81,173,118,20,0,0,,기타,개별난방,19971212,19971212,0
82,삼성,경기도 수원시 영통구 영통동 969-1,아파트,25평형,84.84,28057.619047619046,27.19047619047619,1997,봉영로1517번길 73,63,72,18,0,0,,기타,개별난방,19971212,19971212,0
83,영통에듀파크(331동~337동),경기도 수원시 영통구 영통동 957-6,아파트,25평형,84.96,42189.66071428572,22.818181818181817,1997,청명로 132,56,78,20,0,0,,기타,개별난방,19971216,19971216,0
84,영통에듀파크(331동~337동),경기도 수원시 영통구 영통동 957-6,아파트,22평형,73.79,36776.470588235294,13.235294117647058,1997,청명로 132,17,78,20,0,0,,기타,개별난방,19971216,19971216,0
85,벽적골9단지주공,경기도 수원시 영통구 영통동 970-3,아파트,14평형,49.26,14470.64,40.64,1999,봉영로1517번길 27,50,44,15,1,0,,기타,개별난방,19991110,19991110,0
86,일송프라자,경기도 수원시 영통구 영통동 1024-10,아파트,6평형,20.35,800.0,61.2,2019,덕영대로 1705,5,73,13,1,0,,기타,개별난방,20190823,20190823,0
87,풍림,경기도 수원시 영통구 영통동 1053-2,아파트,25평형,84.84,26072.916666666668,37.130434782608695,1997,봉영로1744번길 11,24,119,20,0,0,,기타,개별난방,19971212,19971212,0
88,벽적골9단지주공,경기도 수원시 영통구 영통동 970-3,아파트,15평형,49.63,15813.461538461539,34.416666666666664,1999,봉영로1517번길 27,13,44,15,1,0,,기타,개별난방,19991110,19991110,0
89,벽산(1053-2),경기도 수원시 영통구 영통동 1053-2,아파트,25평형,84.96,28587.689655172413,24.535714285714285,1997,봉영로1744번길 11,29,119,20,0,0,,기타,개별난방,19971212,19971212,0
90,청명마을삼성,경기도 수원시 영통구 영통동 1046-1,아파트,36평형,119.871,37916.666666666664,57.75,2001,청명북로 33,12,0,2,0,0,,기타,개별난방,20011030,20011030,0
91,청명마을삼성,경기도 수원시 영통구 영통동 1046-1,아파트,40평형,134.239,46257.142857142855,48.07692307692308,2001,청명북로 33,14,0,2,0,0,,기타,개별난방,20011030,20011030,0
92,영통센트럴파크뷰,경기도 수원시 영통구 영통동 948-4,아파트,15평형,49.76,15357.894736842105,27.5,1999,영통로514번길 53,19,80,20,0,0,,기타,개별난방,19990503,19990503,0
93,청명마을대우,경기도 수원시 영통구 영통동 956-2,아파트,30평형,99.87,37009.375,78.75,1998,영통로 460,16,80,20,0,0,,기타,개별난방,19980623,19980623,0
94,건영1차,경기도 수원시 영통구 영통동 1047-1,아파트,40평형,134.81,50125.0,23.695652173913043,1999,청명로 100,24,74,19,0,0,,기타,개별난방,19990218,19990218,0
95,청명마을(주공),경기도 수원시 영통구 영통동 1048-2,아파트,15평형,49.76,15475.0,42.07692307692308,1997,청명북로 81,27,118,20,0,0,,기타,개별난방,19971212,19971212,0
96,영통에듀파크(321동~327동),경기도 수원시 영통구 영통동 957-6,아파트,25평형,84.96,42287.31707317073,19.725,1997,청명로 132,41,78,20,0,0,,기타,개별난방,19971216,19971216,0
97,영통에듀파크(321동~327동),경기도 수원시 영통구 영통동 957-6,아파트,22평형,73.79,34214.730769230766,22.48,1997,청명로 132,26,78,20,0,0,,기타,개별난방,19971216,19971216,0
98,신나무실신명,경기도 수원시 영통구 영통동 968,아파트,25평형,84.9,36808.333333333336,9.0,1997,봉영로1517번길 76,36,80,20,0,0,,기타,개별난방,19971216,19971216,0
99,영통3풍림아이원,경기도 수원시 영통구 영통동 1093,아파트,37평형,124.251,37055.555555555555,21.25,2002,봉영로1482번길 18,9,96,25,2,0,,기타,개별난방,20021025,20021025,0
100,영통아이파크,경기도 수원시 영통구 영통동 1153,아파트,25평형,84.9985,31555.882352941175,8.125,2006,삼성로320번길 62,17,104,28,2,0,,기타,개별난방,20060728,20060728,0
101,경희타운,경기도 수원시 영통구 영통동 1023-6,아파트,5평형,16.68,800.0,54.0,2015,영일로6번길 13,5,70,11,1,0,,기타,개별난방,20150316,20150316,0
102,신나무실건영,경기도 수원시 영통구 영통동 966-2,아파트,40평형,134.81,51922.22222222222,38.625,2000,매영로 346,9,68,17,2,0,,기타,개별난방,20000720,20000720,0
103,영통마크타워,경기도 수원시 영통구 영통동 1025-6,아파트,8평형,29.1,2537.5,73.75,2017,청명로 10,8,99,14,1,0,,기타,개별난방,20170117,20170117,0
104,신나무실신원,경기도 수원시 영통구 영통동 965-2,아파트,40평형,134.998,45937.5,54.285714285714285,1999,매영로310번길 27,8,80,20,0,0,,기타,개별난방,19991229,19991229,0
105,신나무실건영,경기도 수원시 영통구 영통동 966-2,아파트,25평형,84.99,32792.0,40.0,2000,매영로 346,6,68,17,2,0,,기타,개별난방,20000720,20000720,0
106,경희타운,경기도 수원시 영통구 영통동 1023-6,아파트,4평형,16.0252,666.6666666666666,51.0,2015,영일로6번길 13,9,70,11,1,0,,기타,개별난방,20150316,20150316,0
107,신나무실풍림,경기도 수원시 영통구 영통동 967-2,아파트,22평형,75.69,37704.166666666664,0.0,2000,봉영로1517번길 30,12,68,17,0,0,,기타,개별난방,19990930,19990930,0
108,황골마을주공1,경기도 수원시 영통구 영통동 955-1,아파트,14평형,49.44,22969.5,0.0,1997,영통로 498,4,80,20,0,0,,기타,개별난방,19971216,19971216,0
109,인화빌딩,경기도 수원시 영통구 영통동 1021-5,아파트,7평형,23.26,1000.0,66.5,2018,영일로6번길 49,4,40,10,1,0,,기타,개별난방,20181221,20181221,0
