id,building_name,address,building_type,room_type,area,avg_deposit,avg_monthly_rent,construction_year,road_name,sample_count,households,ground_floors,elevators,emergency_elevators,main_use_code,building_usage,heating_type,approval_date,completion_date,latitude,longitude,school_walking_time,station_walking_time
45,건영1차,경기 수원시 영통구 영통동 1047-1,아파트,25평형,84.99,26069.0,66.0,1999,경기 수원시 영통구 청명로 100,6,74,19,0,0,,기타,개별난방,19990218,19990218,37.2563352147537,127.077985517578,26,14
46,영통e-편한세상,경기 수원시 영통구 영통동 987-1,아파트,25평형,84.98,29677.272727272728,35.5,2007,경기 수원시 영통구 영통로200번길 239,11,0,0,0,0,,기타,개별난방,20070803,20070803,37.2458824694509,127.068214505141,15,19
47,영통하우스토리,경기 수원시 영통구 영통동 958-3,아파트,49평형,163.894,60000.0,0.0,2008,경기 수원시 영통구 봉영로 1613,2,98,31,1,0,,기타,개별난방,20080602,20080602,37.2551105121524,127.073919256365,21,8
48,영통역아이파크,경기 수원시 영통구 영통동 1012-1,오피스텔,원룸,26.08,2575.8823529411766,63.378151260504204,2017,경기 수원시 영통구 반달로35번길 30,119,0,20,5,0,,기타,개별난방,20170926,20170926,37.2518511494155,127.077470848386,17,19
49,(998-7),경기 수원시 영통구 영통동 998-7,오피스텔,원룸,24.38,3719.3333333333335,55.144444444444446,2017,경기 수원시 영통구 청명남로 25,90,0,15,5,0,,기타,개별난방,20170524,20170524,37.2524359480309,127.074774882131,14,21
50,수원영통리슈빌스카이오피스텔,경기 수원시 영통구 영통동 945-2,오피스텔,쓰리룸,95.46,12725.0,66.5,2006,경기 수원시 영통구 중부대로 604,20,0,15,2,0,,기타,개별난방,20060621,20060621,37.2672766681132,127.081323437317,45,31
51,Y.T오피스텔,경기 수원시 영통구 영통동 947-8,오피스텔,원룸,24.42,815.0,40.2,2003,경기 수원시 영통구 봉영로1759번길 17,20,0,9,2,0,,기타,개별난방,20030121,20030121,37.2658915093182,127.080646756522,44,31
52,훼미리타워,경기 수원시 영통구 영통동 958-2,오피스텔,원룸,28.44,1625.0,37.791666666666664,2000,경기 수원시 영통구 봉영로 1617,24,0,16,5,0,,기타,개별난방,20000131,20000131,37.2555297963518,127.07430517912,22,9
53,경희유니빌,경기 수원시 영통구 영통동 1024-14,오피스텔,원룸,28.56,1000.0,50.0,2003,경기 수원시 영통구 덕영대로 1709,1,0,13,1,0,,기타,개별난방,20031002,20031002,37.2479866641368,127.078424830333,10,27
54,메가플러스4,경기 수원시 영통구 영통동 1023-1,오피스텔,투룸,31.04,857.1428571428571,52.285714285714285,2004,경기 수원시 영통구 영일로 8,7,0,12,2,0,,기타,개별난방,20040708,20040708,37.2484662348507,127.076022520119,5,22
55,청명타운텔,경기 수원시 영통구 영통동 1021-4,오피스텔,원룸,29.64,500.0,50.0,2001,경기 수원시 영통구 청명로 7,1,0,9,2,0,,기타,개별난방,20010120,20010120,37.2483743327109,127.078908204994,9,27
56,희망의도시,경기 용인시 기흥구 서천동 283,오피스텔,미니원룸,13.62,433.3333333333333,38.21212121212121,2013,경기 용인시 기흥구 서그내로 52,33,0,6,1,0,,기타,개별난방,20130927,20130927,37.2429618821766,127.073243335742,14,25
57,스테이블경희,경기 용인시 기흥구 서천동 7-6,오피스텔,원룸,20.81,3666.6666666666665,58.86666666666667,2022,경기 용인시 기흥구 덕영대로 1698,30,29,10,3,0,,기타,개별난방,20220111,20220111,37.2468241940497,127.076546888872,3,24
58,1동,경기 용인시 기흥구 서천동 279,오피스텔,쓰리룸,55.52,500.0,92.0,2022,경기 용인시 기흥구 서그내로62번길 15,5,0,5,1,0,,기타,개별난방,20220906,20220906,37.2423033415984,127.071119027833,21,28
59,서천더캐슬,경기 용인시 기흥구 서천동 399-1,오피스텔,원룸,29.21,9000.0,36.0,2023,경기 용인시 기흥구 서그내로53번길 40-1,4,11,4,1,0,,기타,개별난방,20230328,20230328,37.2411062091906,127.069608489911,25,32
