시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
수원시,세븐일레븐 영통5단지점,2017-10-26,영업,,,,,편의점,"경기도 수원시 영통구 영통로290번길 25, 상가 나동 1층 101호 (영통동)",경기도 수원시 영통구 영통동 964-5 상가나동 101호,16697,37.2522539507,127.0648698446
수원시,GS25 수원센트럴자이,2024-01-03,영업,,,,,편의점,"경기도 수원시 팔달구 인계로 21, 상가1동 1층 103호 일부호 (인계동)",경기도 수원시 팔달구 인계동 847-3 ,16475,37.2707298964,127.0198731394
수원시,지에스25 오목천아름점,2017-04-11,영업,,,,,편의점,"경기도 수원시 권선구 오목천로57번길 10-21, 1층 (오목천동)",경기도 수원시 권선구 오목천동 213-1 ,16636,37.2406083016,126.9698702653
수원시,세븐일레븐(수원정진점),2003-10-17,영업,,,,,편의점,경기도 수원시 팔달구 권광로124번길 27 (인계동),경기도 수원시 팔달구 인계동 1132-21 ,16491,37.2584937665,127.0323331407
수원시,세븐일레븐 광교대학로점,2021-12-06,영업,,,,,편의점,"경기도 수원시 영통구 대학1로 46, 1층 일부호 (이의동)",경기도 수원시 영통구 이의동 1260 ,16226,37.2998891701,127.0447820025
수원시,세븐일레븐(수원인계2호점),2003-03-27,영업,,,,,편의점,"경기도 수원시 팔달구 효원로291번길 53 (인계동,백광빌딩)",경기도 수원시 팔달구 인계동 1120-5 백광빌딩 ,16488,37.2637390120,127.0343984066
수원시,세븐일레븐(수원영통4호점),2003-03-24,영업,,,,,편의점,경기도 수원시 영통구 봉영로1482번길 17-4 (영통동),경기도 수원시 영통구 영통동 985-5 ,16695,37.2452753731,127.0668493075
수원시,세븐일레븐 수원영통대로점,2020-11-13,영업,,,,,편의점,"경기도 수원시 영통구 영통로 215, 1층 (영통동)",경기도 수원시 영통구 영통동 978-7 ,16698,37.2466173928,127.0568177881
수원시,GS25 금곡자이점,2023-10-31,영업,,,,,편의점,"경기도 수원시 권선구 금곡로73번길 71, 분산상가1동 101일부호 (금곡동, 금곡엘지아파트)",경기도 수원시 권선구 금곡동 520 금곡엘지아파트 ,16382,37.2752904459,126.9340737486
수원시,씨유(CU) 매교중앙점,2023-10-13,영업,,,,,편의점,"경기도 수원시 팔달구 정조로715번길 28, 1층 (매교동)",경기도 수원시 팔달구 매교동 28-15 ,16465,37.2708125101,127.0158121758
수원시,씨유 청명주공점,2020-12-28,영업,,,,,편의점,"경기도 수원시 영통구 청명북로 67, 청명마을주공아파트 상가나동 101호 (영통동)",경기도 수원시 영통구 영통동 1048-6 청명마을주공아파트 ,16709,37.2573465469,127.0797600402
수원시,씨유 영통 보보스점,2019-06-13,영업,,,,,편의점,"경기도 수원시 영통구 봉영로 1612, 1층 108호 (영통동)",경기도 수원시 영통구 영통동 996-4 1층 108호,16704,37.2545081228,127.0749832560
수원시,세븐일레븐 수원망포역점,2020-11-06,영업,,,,,편의점,"경기도 수원시 영통구 영통로 195, 골든스퀘어 1층 132호 (망포동)",경기도 수원시 영통구 망포동 322-3 골든스퀘어 ,16689,37.2451623291,127.0558002667
수원시,세븐일레븐 수원원천청아점,2021-03-02,영업,,,,,편의점,"경기도 수원시 영통구 광교중앙로25번길 5, 1층 (원천동)",경기도 수원시 영통구 원천동 578 ,16500,37.2775595118,127.0512897164
수원시,이마트24 R수원스타필드점,2023-09-05,영업,,,,,편의점,"경기도 수원시 팔달구 수성로157번길 7, 1층 (화서동)",경기도 수원시 팔달구 화서동 679-8 ,16321,37.2864870979,126.9899113605
수원시,세븐일레븐 수원망포자이점,2019-07-29,영업,,,,,편의점,"경기도 수원시 영통구 태장로82번길 32, 1층 103호 (망포동, 동수원자이1차)",경기도 수원시 영통구 망포동 686-103 동수원자이1차 ,16687,37.2371433088,127.0543140605
수원시,세븐일레븐 수원정자2점,2014-06-09,영업,,,,,편의점,경기도 수원시 장안구 장안로103번길 3 (정자동),경기도 수원시 장안구 정자동 46-2 ,16314,37.2930430743,127.0011606872
