시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
용인시,씨유수지신봉점,20220829,영업,,,,,편의점,"경기도 용인시 수지구 신봉3로 23, 101호 일부호 (신봉동)",경기도 용인시 수지구 신봉동 985 ,16808,37.3268495516,127.0663476214
용인시,이마트24R용인주북점,20220624,영업,,,,,편의점,"경기도 용인시 처인구 양지면 주북로 111, 1층 일부",경기도 용인시 처인구 양지면 주북리 939-1 1층 일부 ,17159,37.2483259884,127.2450103964
용인시,씨유 기흥호수공원점,20220411,영업,,,,,편의점,"경기도 용인시 기흥구 한일로9번길 29, 레이크파크 B동 B201호 (공세동)",경기도 용인시 기흥구 공세동 476-343 레이크파크 B동 B201호,17099,37.2414208784,127.1012026546
용인시,씨유 동백호수점,2022-05-09,영업,,,,,편의점,"경기도 용인시 기흥구 동백3로11번길 53, 리츠타워 103호 일부호 (중동)",경기도 용인시 기흥구 중동 844-1 리츠타워 103호호,17006,37.2731151150,127.1499993389
용인시,세븐일레븐 남사IC휴게소점,2019-10-04,영업,,,,,편의점,"경기도 용인시 처인구 남사읍 용구대로 470, 라동 1층 일부",경기도 용인시 처인구 남사읍 통삼리 811 ,17118,37.1435318768,127.1273226389
용인시,이마트24송전사랑점,20221026,영업,,,,,편의점,"경기도 용인시 처인구 이동읍 경기동로 723-4, 1층 일부",경기도 용인시 처인구 이동읍 송전리 577-9 1층 일부 ,17136,37.1373556854,127.1998509837
용인시,CU용인휴양림점,20171128,영업,,,,,편의점,"경기도 용인시 처인구 모현읍 초부로 60, 가동 1층","경기도 용인시 처인구 모현읍 초부리 115-2 (가동, 1층) ",17037,37.3131779067,127.2475113019
용인시,씨유서리지원점,20220422,영업,,,,,편의점,"경기도 용인시 처인구 이동읍 처인성로 1183, 가동 1층",경기도 용인시 처인구 이동읍 서리 132-2 ,17127,37.1907374600,127.1792125031
용인시,세븐일레븐 용인샤론점,20220427,영업,,,,,편의점,"경기도 용인시 처인구 포곡읍 포곡로118번길 51-20, B동 1층 일부",경기도 용인시 처인구 포곡읍 둔전리 109-99 ,17027,37.2691896545,127.2232621469
용인시,CU편의점 보정자이점,20221028,영업,,,,,편의점,"경기도 용인시 기흥구 용구대로2469번길 20, 상가동 101호 일부호 (보정동, 죽전자이2차)",경기도 용인시 기흥구 보정동 1291 죽전자이2차 ,16905,37.3085016697,127.1062765598
