"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-10-20 ~ 2025-10-19"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 용인시 기흥구"
"읍면동 : 서천동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"77","경기도 용인시 기흥구 서천동","823","0823","0000","서천마을4단지쌍용예가","전세","84.9000","202507","24","37,000","0","12","2012","서천동로 60","202509~202709","신규","-","","","아파트"
"78","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202507","23","6,295","16","13","2011","서천로128번길 12","202508~202707","갱신","-","6,086","23","아파트"
"79","경기도 용인시 기흥구 서천동","700","0700","0000","SK","전세","84.4640","202507","23","34,000","0","2","2002","예현로 15","202507~202707","갱신","-","30,000","0","아파트"
"80","경기도 용인시 기흥구 서천동","801","0801","0000","힐스테이트서천","월세","84.8825","202507","23","8,000","135","17","2016","서천동로 22","202511~202611","갱신","-","8,000","140","아파트"
"81","경기도 용인시 기흥구 서천동","736","0736","0000","센트럴파크원","전세","84.9000","202507","23","38,000","0","2","2012","서천서로 27","202508~202708","신규","-","","","아파트"
"82","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202507","22","3,995","27","8","2011","서천로128번길 12","202508~202707","갱신","-","3,878","27","아파트"
"83","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202507","21","4,394","30","16","2011","서천로128번길 12","202508~202707","갱신","-","3,878","27","아파트"
"84","경기도 용인시 기흥구 서천동","834","0834","0000","용인서천효성해링턴플레이스","전세","74.9700","202507","21","37,800","0","20","2017","서그내로 31","202507~202707","갱신","사용","36,000","0","아파트"
"85","경기도 용인시 기흥구 서천동","828","0828","0000","영통로효성해링턴플레이스1차","전세","59.9630","202507","19","40,000","0","16","2017","서그내로16번길 30","202509~202709","신규","-","","","아파트"
"86","경기도 용인시 기흥구 서천동","801","0801","0000","힐스테이트서천","월세","84.9986","202507","19","8,000","160","10","2016","서천동로 22","202508~202708","신규","-","","","아파트"
"87","경기도 용인시 기흥구 서천동","801","0801","0000","힐스테이트서천","전세","84.8890","202507","19","37,800","0","14","2016","서천동로 22","202509~202709","갱신","사용","36,000","0","아파트"
"88","경기도 용인시 기흥구 서천동","755","0755","0000","서천2차IPARK","전세","75.2600","202507","19","39,000","0","5","2016","서천동로21번길 11-22","202510~202710","신규","-","","","아파트"
"89","경기도 용인시 기흥구 서천동","736","0736","0000","센트럴파크원","전세","84.7800","202507","19","33,600","0","9","2012","서천서로 27","202510~202710","갱신","사용","32,000","0","아파트"
"90","경기도 용인시 기흥구 서천동","708","0708","0000","서천아이파크","전세","122.3048","202507","19","47,250","0","3","2009","서그내로16번길 14","202508~202708","갱신","사용","45,000","0","아파트"
"91","경기도 용인시 기흥구 서천동","736","0736","0000","센트럴파크원","전세","84.7800","202507","19","35,000","0","2","2012","서천서로 27","202507~202707","갱신","-","30,000","0","아파트"
"92","경기도 용인시 기흥구 서천동","705","0705","0000","현대홈타운","전세","84.2570","202507","19","33,000","0","19","2002","예현로35번길 21","202601~202802","갱신","-","33,000","0","아파트"
"93","경기도 용인시 기흥구 서천동","828","0828","0000","영통로효성해링턴플레이스1차","전세","73.2363","202507","19","45,000","0","23","2017","서그내로16번길 30","202510~202709","신규","-","","","아파트"
"94","경기도 용인시 기흥구 서천동","828","0828","0000","영통로효성해링턴플레이스1차","전세","59.8828","202507","18","29,400","0","5","2017","서그내로16번길 30","202507~202707","갱신","사용","28,000","0","아파트"
"95","경기도 용인시 기흥구 서천동","705","0705","0000","현대홈타운","전세","115.9760","202507","18","35,000","0","13","2002","예현로35번길 21","202509~202709","신규","-","","","아파트"
"96","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202507","18","3,995","27","10","2011","서천로128번길 12","202508~202707","갱신","-","3,878","27","아파트"
"97","경기도 용인시 기흥구 서천동","828","0828","0000","영통로효성해링턴플레이스1차","월세","59.9630","202507","17","3,000","140","10","2017","서그내로16번길 30","202509~202709","신규","-","","","아파트"
"98","경기도 용인시 기흥구 서천동","736","0736","0000","센트럴파크원","월세","84.9000","202507","16","5,000","140","14","2012","서천서로 27","202509~202709","신규","-","","","아파트"
"99","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","39.4600","202507","15","2,853","19","6","2011","서천로128번길 12","202507~202709","신규","-","","","아파트"
"100","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","51.9300","202507","15","5,058","34","12","2011","서천로128번길 12","202507~202709","신규","-","","","아파트"
"101","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202507","15","1,095","36","15","2011","서천로128번길 12","202507~202709","갱신","-","3,995","27","아파트"
"102","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","39.4600","202507","15","653","26","6","2011","서천로128번길 12","202507~202709","갱신","-","2,853","19","아파트"
"103","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","39.4600","202507","15","2,853","19","2","2011","서천로128번길 12","202507~202709","신규","-","","","아파트"
"104","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202507","15","3,995","27","1","2011","서천로128번길 12","202507~202709","신규","-","","","아파트"
"105","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202507","15","3,995","27","15","2011","서천로128번길 12","202507~202709","신규","-","","","아파트"
"106","경기도 용인시 기흥구 서천동","834","0834","0000","용인서천효성해링턴플레이스","전세","74.9350","202507","14","43,000","0","22","2017","서그내로 31","202509~202709","신규","-","","","아파트"
"107","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","월세","46.9000","202507","11","3,995","27","1","2011","서천로128번길 12","202508~202707","갱신","-","3,878","27","아파트"
"108","경기도 용인시 기흥구 서천동","743","0743","0000","서천마을휴먼시아","전세","51.9300","202507","11","7,058","0","3","2011","서천로128번길 12","-","-","-","","","아파트"
"109","경기도 용인시 기흥구 서천동","705","0705","0000","현대홈타운","전세","115.9760","202507","10","41,000","0","19","2002","예현로35번길 21","202507~202707","갱신","사용","40,000","0","아파트"
