대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
경기도 수원시 영통구 영통동 65번지,41117,10500,0,0065,0000,10841100225080,1,일반,2,일반건축물,경기도 수원시 영통구 영통로351번길 12 (영통동),,,,,0,411174331145,10501,0,12,0,,0,주건축물,379,221.56,58.46,606,606,159.89,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,단독주택(다가구주택:11가구),10,(철근)콘크리트,(철근)콘크리트,0,11,13.85,4,0,1,0,0,0,606,0,0,0,0,0,0,11,126.5,20080428,20100427,20100920,2008,5610006,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 67번지,41117,10500,0,0067,0000,10841242041,1,일반,2,일반건축물,경기도 수원시 영통구 영통로351번길 18 (영통동),창일정밀,,,,0,411174331145,10501,0,18,0,,0,주건축물,361,196.65,54.47,387.42,387.42,107.32,21,철근콘크리트구조,철근콘크리트조,17000,공장,공장,10,(철근)콘크리트,평스라브,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19930608,,19931222,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 68번지,41117,10500,0,0068,0000,10841242042,1,일반,2,일반건축물,경기도 수원시 영통구 영통로351번길 22 (영통동),,,,,0,411174331145,10501,0,22,0,,0,주건축물,0,0,0,438.3,0,0,21,철근콘크리트구조,철근콘크리트조,17000,공장,공장,10,(철근)콘크리트,슬라브,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19890110,,19890609,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 70번지,41117,10500,0,0070,0000,10841242043,1,일반,2,일반건축물,,,,,,0,,,0,,,,0,주건축물,0,0,0,31.4,0,0,51,일반목구조,목조,01000,단독주택,주택,30,슬레이트,스레트,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        ,,1937    ,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 70-1번지,41117,10500,0,0070,0001,10841242044,1,일반,2,일반건축물,경기도 수원시 영통구 영통로345번길 24-25 (영통동),,,,,0,411174331144,10502,0,24,25,,0,주건축물,0,0,0,64,0,0,11,벽돌구조,적벽돌 및 세멘벽돌,04000,제2종근린생활시설,제2종근린생활시설(일반음식점),20,기와,기와,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19830820,,19831116,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 70-2번지,41117,10500,0,0070,0002,10841242045,1,일반,2,일반건축물,경기도 수원시 영통구 영통로345번길 24-23 (영통동),,,,,0,411174331144,10502,0,24,23,,0,주건축물,453,164.58,36.33,600.39,600.39,132.53,21,철근콘크리트구조,라멘조,04000,제2종근린생활시설,"공장,제2종근린생활시설",10,(철근)콘크리트,슬라브,0,0,16.5,4,0,0,0,0,0,600.39,0,0,0,0,0,0,5,57.5,19900308,,19900728,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 71-1번지,41117,10500,0,0071,0001,10841242046,1,일반,2,일반건축물,경기도 수원시 영통구 영통로351번길 27 (영통동),,,,,0,411174331145,10501,0,27,0,,0,주건축물,1278,736.68,57.64,1657.96,1657.96,129.73,31,일반철골구조,일반철골구조,17000,공장,공장,90,기타지붕,경량철골조,0,0,11.75,3,0,0,0,1,52.2,0,0,0,0,0,0,0,7,80.5,19920513,19920708,19921230,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 71-3번지,41117,10500,0,0071,0003,10841100227615,1,일반,2,일반건축물,경기도 수원시 영통구 영통로345번길 24-19 (영통동),,,,,0,411174331144,10502,0,24,19,,0,주건축물,314,168.76,53.75,965.42,965.42,307.46,21,철근콘크리트구조,철근콘크리트구조,04000,제2종근린생활시설,제2종근린생활시설(고시원),10,(철근)콘크리트,(철근)콘크리트(평스라브),0,0,18.45,6,0,1,0,0,0,965.42,0,0,0,0,0,0,7,80.5,20091231,20100719,20110506,2009,5610006,건축과,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 71-4번지,41117,10500,0,0071,0004,10841242047,1,일반,2,일반건축물,경기도 수원시 영통구 영통로345번길 24-13 (영통동),,,,,0,411174331144,10502,0,24,13,,0,주건축물,0,0,0,133.73,0,0,12,블록구조,블록조,01000,단독주택,주택,20,기와,기와,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19810731,,,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 72-1번지,41117,10500,0,0072,0001,10841242050,1,일반,2,일반건축물,경기도 수원시 영통구 영통로351번길 3 (영통동),,,,,0,411174331145,10501,0,3,0,,0,주건축물,972,519.03,53.4,1437.63,1437.63,147.9,21,철근콘크리트구조,철근콘크리트조,17000,공장,공장,10,(철근)콘크리트,슬라브,0,0,10.83,3,0,0,0,0,0,1437.63,0,0,0,0,0,0,5,57.5,19890828,,19911214,,,,,,0,,0,0,,0,,0,20220909,0,
