사업장명,소재지지번주소,소재지도로명주소,영업상태명,위생업태명,WGS84위도,WGS84경도,지역구분
지에스25 권선구청점,경기도 수원시 권선구 고색동 1176-1 103호,"경기도 수원시 권선구 호매실로 21-51, 103호 (고색동)",영업,편의점,37.2555543742,126.9720998261,권선구
CU수원경서점,경기도 수원시 팔달구 인계동 218-6 1층 ,"경기도 수원시 팔달구 중부대로106번길 34, 1층 (인계동)",영업,편의점,37.2763829427,127.0291769379,팔달구
세븐일레븐 수원권광로점,경기도 수원시 팔달구 인계동 1118-4 ,"경기도 수원시 팔달구 권광로196번길 50, 1층 (인계동)",영업,편의점,37.2641868835,127.0359745717,팔달구
지에스25 수원행리단길점,경기도 수원시 팔달구 신풍동 42-1 ,"경기도 수원시 팔달구 화서문로 48, 1층 (신풍동)",영업,편의점,37.2852150705,127.0132042178,팔달구
씨유 수원역자이서문점,경기도 수원시 팔달구 고등동 156-117 수원역푸르지오자이 ,"경기도 수원시 팔달구 고등로 15, 근린생활시설3동 지하2층 29,30호 (고등동, 수원역푸르지오자이)",영업,편의점,37.2764446576,127.0002550538,팔달구
씨유 수원시청점,경기도 수원시 팔달구 인계동 1030-13 ,"경기도 수원시 팔달구 효원로235번길 34, 1층 (인계동)",영업,편의점,37.2644181105,127.0283379133,팔달구
세븐일레븐 삼성신동점,경기도 수원시 영통구 매탄동 492-7 (1층) ,"경기도 수원시 영통구 신원로 228 (매탄동, 492-7번지 1층)",영업,편의점,37.2561672959,127.0603366039,영통구
주식회사 동문지에스,경기도 수원시 팔달구 고등동 156-117 수원역푸르지오자이 ,"경기도 수원시 팔달구 고등로 15, 근린생활시설2동 1층 26,27호 (고등동, 수원역푸르지오자이)",영업,편의점,37.2740243572,127.0013087642,팔달구
GS25 권선대신점,경기도 수원시 권선구 권선동 1274 신동아아파트 ,"경기도 수원시 권선구 권중로 136, 1층 110,111호 (권선동, 신동아아파트)",영업,편의점,37.2485200648,127.0312559435,권선구
씨유 호매실타운점,경기도 수원시 권선구 호매실동 454-2 ,"경기도 수원시 권선구 노림로15번길 26, 1층 일부호 (호매실동)",영업,편의점,37.2672937943,126.9529685891,권선구
세븐일레븐 수원터미널1호점,"경기도 수원시 권선구 권선동 1189 터미널동, 할인점동 ","경기도 수원시 권선구 경수대로 270, 터미널동, 할인점동 1층 1313호 (권선동)",영업,편의점,37.2504974396,127.0208246964,권선구
세븐일레븐(수원권선4호점),경기도 수원시 권선구 권선동 996-18 ,"경기도 수원시 권선구 세지로82번길 30, 1층 (권선동)",영업,편의점,37.2585506372,127.0195219216,권선구
세븐일레븐 수원탑건점,경기도 수원시 권선구 세류동 1039 ,,영업,편의점,37.2488116976,127.0041476917,권선구
세븐일레븐 수원능실점,경기도 수원시 권선구 호매실동 1394 호매실스위첸 ,"경기도 수원시 권선구 호매실로166번길 63, 상가동 101, 102호 (호매실동, 호매실스위첸)",영업,편의점,37.2589281267,126.9606637551,권선구
이마트24 권선센터점,경기도 수원시 권선구 권선동 1188 권선한양아파트 ,"경기도 수원시 권선구 경수대로302번길 22, 상가동 101호, 102호, 103호 (권선동, 권선한양아파트)",영업,편의점,37.2531226242,127.021349336,권선구
씨유 수원호매실점,경기도 수원시 권선구 호매실동 469-21 ,"경기도 수원시 권선구 금호로 7, 1층 일부호 (호매실동)",영업,편의점,37.2687801016,126.9527548208,권선구
지에스25 매탄그린빌점,경기도 수원시 영통구 매탄동 1285 주공그린빌 ,"경기도 수원시 영통구 동탄원천로881번길 19, 1층 102,103호 (매탄동, 주공그린빌)",영업,편의점,37.2530386348,127.0411173136,영통구
세븐일레븐 영통5단지점,경기도 수원시 영통구 영통동 964-5 상가나동 101호,"경기도 수원시 영통구 영통로290번길 25, 상가 나동 1층 101호 (영통동)",영업,편의점,37.2522539507,127.0648698446,영통구
GS25 수원센트럴자이,경기도 수원시 팔달구 인계동 847-3 ,"경기도 수원시 팔달구 인계로 21, 상가1동 1층 103호 일부호 (인계동)",영업,편의점,37.2707298964,127.0198731394,팔달구
지에스25 오목천아름점,경기도 수원시 권선구 오목천동 213-1 ,"경기도 수원시 권선구 오목천로57번길 10-21, 1층 (오목천동)",영업,편의점,37.2406083016,126.9698702653,권선구
세븐일레븐(수원정진점),경기도 수원시 팔달구 인계동 1132-21 ,경기도 수원시 팔달구 권광로124번길 27 (인계동),영업,편의점,37.2584937665,127.0323331407,팔달구
세븐일레븐 광교대학로점,경기도 수원시 영통구 이의동 1260 ,"경기도 수원시 영통구 대학1로 46, 1층 일부호 (이의동)",영업,편의점,37.2998891701,127.0447820025,영통구
세븐일레븐(수원인계2호점),경기도 수원시 팔달구 인계동 1120-5 백광빌딩 ,"경기도 수원시 팔달구 효원로291번길 53 (인계동,백광빌딩)",영업,편의점,37.263739012,127.0343984066,팔달구
세븐일레븐(수원영통4호점),경기도 수원시 영통구 영통동 985-5 ,경기도 수원시 영통구 봉영로1482번길 17-4 (영통동),영업,편의점,37.2452753731,127.0668493075,영통구
세븐일레븐 수원영통대로점,경기도 수원시 영통구 영통동 978-7 ,"경기도 수원시 영통구 영통로 215, 1층 (영통동)",영업,편의점,37.2466173928,127.0568177881,영통구
GS25 금곡자이점,경기도 수원시 권선구 금곡동 520 금곡엘지아파트 ,"경기도 수원시 권선구 금곡로73번길 71, 분산상가1동 101일부호 (금곡동, 금곡엘지아파트)",영업,편의점,37.2752904459,126.9340737486,권선구
씨유(CU) 매교중앙점,경기도 수원시 팔달구 매교동 28-15 ,"경기도 수원시 팔달구 정조로715번길 28, 1층 (매교동)",영업,편의점,37.2708125101,127.0158121758,팔달구
씨유 청명주공점,경기도 수원시 영통구 영통동 1048-6 청명마을주공아파트 ,"경기도 수원시 영통구 청명북로 67, 청명마을주공아파트 상가나동 101호 (영통동)",영업,편의점,37.2573465469,127.0797600402,영통구
씨유 영통 보보스점,경기도 수원시 영통구 영통동 996-4 1층 108호,"경기도 수원시 영통구 봉영로 1612, 1층 108호 (영통동)",영업,편의점,37.2545081228,127.074983256,영통구
세븐일레븐 수원망포역점,경기도 수원시 영통구 망포동 322-3 골든스퀘어 ,"경기도 수원시 영통구 영통로 195, 골든스퀘어 1층 132호 (망포동)",영업,편의점,37.2451623291,127.0558002667,영통구
세븐일레븐 수원원천청아점,경기도 수원시 영통구 원천동 578 ,"경기도 수원시 영통구 광교중앙로25번길 5, 1층 (원천동)",영업,편의점,37.2775595118,127.0512897164,영통구
이마트24 R수원스타필드점,경기도 수원시 팔달구 화서동 679-8 ,"경기도 수원시 팔달구 수성로157번길 7, 1층 (화서동)",영업,편의점,37.2864870979,126.9899113605,팔달구
세븐일레븐 수원망포자이점,경기도 수원시 영통구 망포동 686-103 동수원자이1차 ,"경기도 수원시 영통구 태장로82번길 32, 1층 103호 (망포동, 동수원자이1차)",영업,편의점,37.2371433088,127.0543140605,영통구
GS25인계골드,경기도 수원시 팔달구 인계동 939-11 ,"경기도 수원시 팔달구 장다리로 323, 1층 (인계동)",영업,편의점,37.2768872455,127.0313282596,팔달구
씨유(CU) 오목쌍용점,경기도 수원시 권선구 오목천동 0 ,"경기도 수원시 권선구 삼천병마로1566번길 17, 108, 109호 (오목천동)",영업,편의점,37.24448788,126.9666522525,권선구
세븐일레븐 호매실에비뉴점,경기도 수원시 권선구 금곡동 1113-3 ,"경기도 수원시 권선구 금곡로197번길 18-24, 1층 101호 (금곡동)",영업,편의점,37.2746762493,126.952982852,권선구
GS25수원서둔점,경기도 수원시 권선구 서둔동 260-29 ,"경기도 수원시 권선구 여기산로 16, 1층 (서둔동)",영업,편의점,37.2787945413,126.9787169441,권선구
씨유 수원고색중앙점,경기도 수원시 권선구 고색동 888-113 ,"경기도 수원시 권선구 서둔로 15, 1층 (고색동)",영업,편의점,37.2532805528,126.9838431108,권선구
이마트24 수원세류미영점,경기도 수원시 권선구 세류동 1147 미영아파트 ,"경기도 수원시 권선구 정조로 432, 108호 (세류동, 미영아파트)",영업,편의점,37.2480740671,127.0145257022,권선구
씨유 팔달중앙점,경기도 수원시 팔달구 중동 1-5 중동빌딩 1층 ,"경기도 수원시 팔달구 정조로 751-11, 중동빌딩 1층 (중동)",영업,편의점,37.27514828,127.0158295264,팔달구
씨유수원화서,경기도 수원시 팔달구 화서동 71-93 ,경기도 수원시 팔달구 팔달로119번길 16 (화서동),영업,편의점,37.2793670426,127.0028414746,팔달구
씨유 우만비체신생점,경기도 수원시 팔달구 우만동 473-22 ,"경기도 수원시 팔달구 경수대로692번길 11, 1층 (우만동)",영업,편의점,37.2872289126,127.0274735583,팔달구
GS25 영통럭키점,경기도 수원시 영통구 영통동 1008-1 ,"경기도 수원시 영통구 청명남로 12, 1층 (영통동)",영업,편의점,37.2510802879,127.0742808421,영통구
씨유 수원라포리엘점,경기도 수원시 권선구 당수동 336-1 ,"경기도 수원시 권선구 당수로129번길 10, 근린생활시설동 1층 101호, 102호 (당수동)",영업,편의점,37.2866123891,126.9417730768,권선구
세븐일레븐 수원고색산단점,경기도 수원시 권선구 고색동 1097 ,"경기도 수원시 권선구 산업로 182, 101호 일부호 (고색동)",영업,편의점,37.2427288174,126.9846704892,권선구
세븐일레븐 수원세류새터점,경기도 수원시 권선구 세류동 554-6 ,"경기도 수원시 권선구 새터로 9, 1층 (세류동)",영업,편의점,37.2545631453,127.0077406759,권선구
씨유수원화서영광점,경기도 수원시 팔달구 화서동 219-20 1층 ,"경기도 수원시 팔달구 동말로25번길 71, 1층 (화서동)",영업,편의점,37.2806419439,126.9952526229,팔달구
이마트24 수원행궁점,경기도 수원시 팔달구 남창동 110 ,"경기도 수원시 팔달구 행궁로 41, 1층 (남창동)",영업,편의점,37.2788331692,127.0153885573,팔달구
세븐일레븐 수원가온팰리스점,경기도 수원시 권선구 서둔동 433 가온팰리스 ,"경기도 수원시 권선구 권선로357번길 33, 가온팰리스 B동 1층 112호 (서둔동)",영업,편의점,37.2613364396,126.9915809418,권선구
세븐일레븐 오목쌍용점,경기도 수원시 권선구 오목천동 527-14 ,"경기도 수원시 권선구 삼천병마로1570번길 69, 1층 일부호 (오목천동)",영업,편의점,37.2433061247,126.9664463577,권선구
씨유뉴광교에듀점,경기도 수원시 영통구 이의동 1341-4 그린메디칼 ,"경기도 수원시 영통구 에듀타운로 24, 그린프라자 1층 105호 (이의동)",영업,편의점,37.2852161359,127.0522934066,영통구
씨유 수원구운점,경기도 수원시 권선구 구운동 493-10 ,"경기도 수원시 권선구 구운로 38, 1층 일부층 (구운동)",영업,편의점,37.2775576467,126.9741909202,권선구
씨유 오목천푸르지오점,경기도 수원시 권선구 오목천동 227-9 ,"경기도 수원시 권선구 서수원로183번길 7, 1층 (오목천동)",영업,편의점,37.2431260149,126.9684883745,권선구
이마트24경기대E스퀘어점,경기도 수원시 영통구 이의동 산 94-6 경기대학교 ,"경기도 수원시 영통구 광교산로 154-42, 경기대학교 E스퀘어동 1층 일부호 (이의동)",영업,편의점,37.3006356457,127.037375554,영통구
세븐일레븐 수원세류역점,경기도 수원시 권선구 세류동 1159 ,"경기도 수원시 권선구 정조로388번길 2, 1층 일부호 (세류동)",영업,편의점,37.2440282883,127.0148899051,권선구
GS25수원지동점,경기도 수원시 팔달구 지동 477-13 샤인파크 ,"경기도 수원시 팔달구 경수대로 657-7 (지동, 샤인파크)",영업,편의점,37.2837691871,127.0278787426,팔달구
세븐일레븐 인계스카이점,경기도 수원시 팔달구 인계동 964-23 ,"경기도 수원시 팔달구 경수대로495번길 12-3, 1층 (인계동)",영업,편의점,37.2706056284,127.0270699106,팔달구
GS25 서수원참누리점,경기도 수원시 권선구 서둔동 238-6 ,"경기도 수원시 권선구 수인로161번길 24, 1층 일부호 (서둔동)",영업,편의점,37.2749252253,126.9802325319,권선구
세븐일레븐 매탄삼성교점,경기도 수원시 영통구 매탄동 815-5 ,경기도 수원시 영통구 인계로 293-1 (매탄동),영업,편의점,37.2632390124,127.0496153422,영통구
씨유 수원매산로점,경기도 수원시 팔달구 매산로2가 26-20 ,"경기도 수원시 팔달구 갓매산로 65, 1층 (매산로2가)",영업,편의점,37.2696532393,127.0036046366,팔달구
